region,node,gfx_index,equipment,x,y,tile_w,tile_h,unique_cells,rows,facing,direction_cells,notes
head,head,0,helmet,0,0,16,16,9,3,FACE_16_MIRR,"S|SSE|SE|ESE|E|ENE|NE|NNE|N","rows: UP1+ / ALL / DOWN1+; west side mirrors east"
top,top,0,chest,0,48,16,16,9,2,FACE_16_MIRR,"S|SSE|SE|ESE|E|ENE|NE|NNE|N","rows: ALL / DOWN1+; west side mirrors east"
abdomen,root,0,chest,0,80,16,12,9,2,FACE_16_MIRR,"S|SSE|SE|ESE|E|ENE|NE|NNE|N","rows: ALL / DOWN1+; west side mirrors east"
pelvis,bottom,0,legs,0,104,16,12,9,1,FACE_16_MIRR,"S|SSE|SE|ESE|E|ENE|NE|NNE|N","west side mirrors east; bottom has a second authored gfx record on same range"
upper_leg,legL/legR,0,legs,144,0,8,16,8,1,FACE_8,"S|SE|E|NE|N|NW|W|SW","left/right share this source bank with flip rules"
foot,footL/footR,0,boots,144,16,8,12,5,1,FACE_8_MIRR,"S|SE|E|NE|N","SW/W/NW mirror the unique east-side cells"
toe,toeL/toeR,0,boots,144,28,12,12,5,1,FACE_8_MIRR,"S|SE|E|NE|N","SW/W/NW mirror the unique east-side cells"
upper_arm,armL/armR,0,chest,208,0,8,8,8,1,FACE_8,"S|SE|E|NE|N|NW|W|SW","arm gfx0"
forearm,armL/armR,1,gloves,208,8,8,12,8,1,FACE_8,"S|SE|E|NE|N|NW|W|SW","arm gfx1; intentionally separate equipment ownership from upper arm"
hand,handL/handR,0,gloves,208,20,8,8,8,1,FACE_8,"S|SE|E|NE|N|NW|W|SW","hand sprite"
finger,fingerL/fingerR,0,gloves,208,28,8,8,8,1,FACE_8,"S|SE|E|NE|N|NW|W|SW","finger sprite"
reserved_head,headGear,,helmet_overlay,,,,,,, ,,"no source pixels yet; reserved for halo/head overlays"
reserved_back,tailEnd,,back_overlay,,,,,,, ,,"no source pixels yet; reserved for cape/wings/back overlays"
