node,gfx,entry,x,y,w,h,facing,tex_rotate,pitch_ranges,pivot_x,pivot_y,z_order,cut_inverse,cut_scale_shift,parent_pos_factor,parent_pixel_off
top,0,default,288,0,12,12,FACE_16,ROTATE,ALL|DOWN1+|DOWN3+|UP2+,0.5,0.3333333333333333,-1,,,,
top,0,flashback,360,156,12,12,FACE_16,ROTATE,ALL|DOWN1+|DOWN3+|UP2+,0.5,0.3333333333333333,-1,,,,
top,1,default,288,84,12,8,FACE_8_MIRR,ROTATE,ALL|UP2+,0.5,0.5,-7,,,,
head,0,default,0,0,20,20,FACE_16_MIRR,ROTATE,ALL|DOWN1+|DOWN3+|UP1+|UP2+,0.5,0.5,2,,,,
head,0,sleep,180,116,20,20,FACE_4,NONE,ALL,0.5,0.5,2,,,,
head,1,simple,588,36,8,8,SIMPLE,NONE,,0.375,0.5,-1,,,,
headGear,0,default,528,108,16,16,FACE_16_MIRR,NONE,ALL,0.4375,0.5,0,,,,
headGear,0,preMarble,228,0,4,4,FACE_1,NONE,ALL,0.4375,0.5,0,,,,
tailEnd,0,Idle,360,100,8,28,FACE_4_MIRR,ROTATE_SCALE,ALL,0.5,0.0714285714285711,-2,False,,,
tailEnd,0,subtle,308,100,16,28,FACE_1,ROTATE_SCALE,ALL,0.5,0.0714285714285711,-2,False,,,
tailEnd,0,wave,324,100,12,28,FACE_4_MIRR,ROTATE_SCALE,ALL,0.5,0.0714285714285711,-2,False,,,
tailEnd,0,swingR,384,100,16,28,FACE_2_FRONT_BACK,ROTATE_SCALE,ALL,0.5,0.0714285714285711,-2,False,,,
tailEnd,0,swingL,384,100,16,28,FACE_2_FLIP_FB,ROTATE_SCALE,ALL,0.5,0.0714285714285711,-2,False,,,
eyes,0,default,180,0,12,8,FACE_16_MIRR_FO,ROTATE,NORM,0.5,0.125,4,,,,
eyes,0,down,180,32,12,8,FACE_16_MIRR_FO,ROTATE,DOWN1+,0.5,0.125,4,,,,
eyes,0,up,180,64,12,8,FACE_16_MIRR_FO,ROTATE,UP1+,0.5,0.125,4,,,,
eyes,0,right,180,96,12,8,FACE_16_FRONT_ONLY,ROTATE,DOWN1+|NORM,0.5,0.125,4,,,,
eyes,0,left,180,96,12,8,FACE_16_FLIP_FO,ROTATE,DOWN1+|NORM,0.5,0.125,4,,,,
eyes,0,hyper,180,24,12,8,FACE_16_MIRR_FO,ROTATE,NORM,0.5,0.125,4,,,,
eyes,0,hyperDown,180,56,12,8,FACE_16_MIRR_FO,ROTATE,DOWN1+,0.5,0.125,4,,,,
eyes,0,hyperUp,180,88,12,8,FACE_16_MIRR_FO,ROTATE,UP1,0.5,0.125,4,,,,
armL,0,default,632,64,8,8,FACE_8_MIRR,ROTATE,ALL|DOWN1+|DOWN2+|UP1+,0.375,0.375,1,True,,,
armL,0,default2,488,108,8,8,FACE_8_MIRR,ROTATE,ALL|DOWN1+|DOWN2+|UP1+,0.375,0.375,1,True,,,
armL,0,flashback,228,0,4,4,FACE_1,NONE,ALL,0.375,0.375,1,True,,,
armL,1,default,608,76,8,8,FACE_4_MIRR,PARENT_ROTATE_CUT,ALL|DOWN1|NORM,0.375,0.875,0,True,,,
armL,2,default,488,108,8,8,FACE_8_MIRR,ROTATE,ALL|DOWN1+|DOWN2+|UP1+,0.375,0.375,1,True,,,
armR,0,default,608,36,8,8,FACE_4_MIRR_FLIP,ROTATE,ALL|DOWN1|DOWN2+,0.375,0.25,1,True,,,
armR,0,flashback,0,0,0,0,FACE_1,NONE,ALL,0.375,0.25,1,True,,,
armR,1,default,608,60,8,8,FACE_4_MIRR_FLIP,PARENT_ROTATE_CUT,ALL|DOWN2+,0.375,0.875,0,,,,
armR,2,default,488,108,8,8,FACE_8_MIRR_FLIP,ROTATE,ALL|DOWN1+|DOWN2+|UP1+,0.375,0.375,1,True,,,
handL,0,default,632,0,8,8,FACE_8_MIRR,PARENT_ROTATE_SCALE,ALL|DOWN1|DOWN2+|UP1|UP2+,0.375,1,2,,2,0.23,
handR,0,default,632,0,8,8,FACE_8_MIRR_FLIP,PARENT_ROTATE_SCALE,ALL|DOWN1|DOWN2+|UP1|UP2+,0.375,1,2,,2,0.34,
fingerL,0,default,632,40,8,8,FACE_8_MIRR,PARENT_ROTATE,ALL|NORM|UP1,0.375,0.5,2,,,,
fingerL,0,stretched,632,96,8,8,FACE_8_MIRR,PARENT_ROTATE,ALL,0.375,0.5,2,,,,
fingerR,0,default,632,40,8,8,FACE_8_MIRR_FLIP,PARENT_ROTATE,ALL|NORM|UP1,0.375,0.5,2,,,,
fingerR,0,stretched,632,96,8,8,FACE_8_MIRR_FLIP,PARENT_ROTATE,ALL,0.375,0.5,2,,,,
bottom,0,default,480,48,12,12,FACE_16_MIRR,ROTATE,ALL|DOWN1+|DOWN3+|UP1+|UP2+,0.5,0.416666666666667,1,,,,
bottom,0,flashback,552,160,12,12,FACE_16_MIRR,ROTATE,ALL|DOWN1+|DOWN3+|UP1+|UP2+,0.5,0.416666666666667,1,,,,
bottom,1,default,480,36,12,12,FACE_16_MIRR,ROTATE,ALL,0.5,0.42,-3,,,,
bottom,1,flashback,552,148,12,12,FACE_16_MIRR,ROTATE,ALL,0.5,0.42,-3,,,,
legL,0,default,544,0,8,12,FACE_8,PARENT_ROTATE_SCALE,ALL|UP1+,0.375,0.8333333333333333,4,,,,
legL,0,flashback,528,124,8,12,FACE_8_FLIP,PARENT_ROTATE_SCALE,ALL|UP1+,0.375,0.8333333333333333,4,,,,
legR,0,default,480,0,8,12,FACE_8,PARENT_ROTATE_SCALE,ALL|UP1+,0.375,0.8333333333333333,4,,,,
legR,0,flashback,528,124,8,12,FACE_8,PARENT_ROTATE_SCALE,ALL|UP1+,0.375,0.8333333333333333,4,,,,
footL,0,default,608,0,8,12,FACE_4_MIRR_FLIP,PARENT_ROTATE_SCALE,ALL|DOWN2+|UP2+,0.5,0.75,0,True,,,1
footR,0,default,608,0,8,12,FACE_4_MIRR,PARENT_ROTATE_SCALE,ALL|DOWN2+|UP2+,0.5,0.75,0,True,,,1
toeL,0,default,348,84,8,8,FACE_16_MIRR_FLIP,ROTATE,ALL|DOWN2+,0.25,0.375,0,,,,1
toeR,0,default,348,84,8,8,FACE_16_MIRR,ROTATE,ALL|DOWN2+,0.25,0.375,0,,,,
